id,in
0,0xa3b1799d
1,0x1c80317f
2,0x06671ad1
3,0xbdd640fb
4,0x46685257
5,0x3eb13b90
6,0x392456de
7,0x23b8c1e9
8,0xbc8960a9
9,0x1a3d1fa7
10,0xad3c2d6d
11,0xbd9c66b3
12,0xe465e150
13,0x8b9d2434
14,0x16419f82
15,0x972a8469
16,0x6c031199
17,0x0822e8f3
18,0x07a0ca6e
19,0x17fc695a
20,0x37f8a88b
21,0x3b8faa18
22,0x815ef6d1
23,0x9a1de644
24,0x06cb0fb3
25,0x8fadc1a6
26,0x32e70629
27,0xb74d0fb1
28,0xa65ed389
29,0xb38a088c
30,0x8b8148f6
31,0x6b65a6a4
32,0x386ecbe0
33,0x72ff5d2a
34,0x96da1dac
35,0x47378190
36,0xcf36d58b
37,0xde8a774b
38,0x01a9e71f
39,0xc241330b
40,0xce4a2bbd
41,0x28df6ec4
42,0xb2b9437a
43,0x6c307511
44,0x571aa876
45,0x47229389
46,0x27cd8130
47,0x371ecd7b
48,0xf50bea63
49,0xc37459ee
50,0x562b0f79
51,0x1a2a73ed
52,0x17be3111
53,0x6142ea7d
54,0x18c26797
55,0x5be6128e
56,0xd8f56413
57,0x580d7b71
58,0x9a8dca03
59,0x43b7a3a6
60,0xce9ff57f
61,0x0b1f9163
62,0xbacfb3d0
63,0x759cde66
64,0x89463e85
65,0x1ff49b78
66,0xf91e1d4c
67,0xec1b8ca1
68,0x60e7a113
69,0x142c3fe8
70,0x8d5288f1
71,0x4b0dbb41
72,0xd453dd32
73,0xa0ee89ae
74,0x9e574f7a
75,0xe2acf72f
76,0xdc98d2c1
77,0x5c941cf0
78,0x93cd59bf
79,0x3139d32c
80,0xb45ed1f0
81,0x11ce5dd2
82,0x0bbb2599
83,0xa9488d99
84,0x3a578a8e
85,0xc5e7ce8a
86,0x4a15544d
87,0xfc377a4c
88,0x146d3f31
89,0xdaf61a26
90,0x3b982ef8
91,0xddd1dfb2
92,0x19db3ad0
93,0x614ff3d7
94,0x47294739
95,0x7412b293
96,0xa2bc372f
97,0xd58842de
98,0x5d65a441
99,0x29a3b2e9
100,0x5ec42e08
101,0x5af30553
102,0x35a240ae
103,0xab9099a4
104,0x4458a885
105,0xb3aa7efe
106,0xefc89849
107,0xaefcfad8
108,0xa5e5a5ab
109,0x12476f57
110,0x9bf00273
111,0xa28defe3
112,0x2bcfbe01
113,0x88bd6407
114,0xbaa80dd4
115,0x3eabedcb
116,0x29d4beef
117,0x7656af72
118,0x6123fdf7
119,0x451b4cf3
120,0xfd5166e6
121,0xece66fa2
122,0xa3d70628
123,0xb02b61c4
124,0x8e944239
125,0x3838b326
126,0xaf42e12f
127,0x5304317f
128,0xd7c524a5
129,0xc4b032cc
130,0xc6a7ee39
131,0x0e51f30d
132,0x3aa2e4f9
133,0xd261a7ab
134,0x0837b8a3
135,0xce177b4e
136,0x50c187fc
137,0x66b2bc5b
138,0x448aaa9e
139,0x10f1bc81
140,0x3602f8ac
141,0xe9c349e0
142,0xf16287e4
143,0x9132b63e
144,0xe059a0ee
145,0xb7c93acf
146,0x508ebad7
147,0x366eb16f
148,0xa7cad415
149,0x7fcd9eb1
150,0x654821d0
151,0xe27a984d
152,0xea1fca65
153,0xa491f0b2
154,0x757750a9
155,0x24933b83
156,0x43cf2fde
157,0x23bed01d
158,0x3f22faf8
159,0xbeb79919
160,0x8fb5d27b
161,0x89fa6a68
162,0x434308bc
163,0xbf3c4c06
164,0x95a76d79
165,0x6dadd6c7
166,0xe5d7b875
167,0x956269f0
168,0x663f1c97
169,0x5cabcc97
170,0x382567b8
171,0xff50bde4
172,0xff5e9ff0
173,0x2369b584
174,0x827050a8
175,0x7e570ddf
176,0x1745d6d8
177,0xc17af08a
178,0x0c0fd195
179,0xdc713d96
180,0x1c11f735
181,0x27209bdf
182,0xa0a04dc4
183,0x28f49481
184,0xcac5b68c
185,0xae340454
186,0x6c12ace8
187,0x98ae4334
188,0x10435a10
189,0x62801c45
190,0x61b1cd22
191,0x988c24c9
192,0xff01cf99
193,0x77d21e02
194,0x877409a9
195,0x405cacec
196,0xf89897b9
197,0x8da0365b
198,0xdc5c0eed
199,0xf143262f
200,0x02f06b90
201,0xae270da7
202,0xb88139b9
203,0x1d53434b
204,0xae849217
205,0xe2817efd
206,0x8976e334
207,0xc0398710
208,0x444ea7c8
209,0xc4c2e2e3
210,0xa4161293
211,0x5715bd6f
212,0x1c8eaee9
213,0x4b22d308
214,0x6f4cc69a
215,0x287d06ca
216,0x74273ca3
217,0x00d4af59
218,0xf42d47cc
219,0xb8db0672
220,0xe037e5ed
221,0xb83cfe0b
222,0x436d76e2
223,0xf8cda88b
224,0x8026695f
225,0xc30ff46e
226,0x2dbc2134
227,0x81f76d1c
228,0xe9a1fa6f
229,0x1b3dbd5c
230,0xdeda4e16
231,0xa013ac6e
232,0x4c66e0a8
233,0xd777a477
234,0xa39231a7
235,0x81f631d4
236,0x9be578c7
237,0x32ebd689
238,0x2720797d
239,0x5fb8d16c
240,0xc333e861
241,0x295b4715
242,0x8a14be62
243,0xf4188f3f
244,0xc754108f
245,0xec24a3c5
246,0x87c5421e
247,0xeb2263dd
248,0x00257ad1
249,0x99546eb4
250,0x52fbe43b
251,0x7d154385
252,0x04fc6d82
253,0x1ca35cfb
254,0xedd96831
255,0x5cec4eb5
