cycle,id,in,exp,out
0,0,0xa3b1799d,0x00000000,0xa3b1799d
1,1,0x1c80317f,0xc031ab1c,0xc031ab1c
2,2,0x06671ad1,0xc698c5ed,0xc698c5ed
3,3,0xbdd640fb,0x846f06e8,0x846f06e8
4,4,0x46685257,0xcad7593f,0xcad7593f
5,5,0x3eb13b90,0x098894cf,0x098894cf
6,6,0x392456de,0x42acebad,0x42acebad
7,7,0x23b8c1e9,0x6665ad96,0x6665ad96
8,8,0xbc8960a9,0x22ef0e3f,0x22ef0e3f
9,9,0x1a3d1fa7,0x3d2c2de6,0x3d2c2de6
10,10,0xad3c2d6d,0xea685b53,0xea685b53
11,11,0xbd9c66b3,0xa804c206,0xa804c206
12,12,0xe465e150,0x8c6aa356,0x8c6aa356
13,13,0x8b9d2434,0x1807c78a,0x1807c78a
14,14,0x16419f82,0x2e49670c,0x2e49670c
15,15,0x972a8469,0xc573eb75,0xc573eb75
16,16,0x6c031199,0x3176fd0e,0x3176fd0e
17,17,0x0822e8f3,0x3999e601,0x3999e601
18,18,0x07a0ca6e,0x413ab06f,0x413ab06f
19,19,0x17fc695a,0x593719c9,0x593719c9
20,20,0x37f8a88b,0x912fc254,0x912fc254
21,21,0x3b8faa18,0xccbf6c6c,0xccbf6c6c
22,22,0x815ef6d1,0x4e1e633d,0x4e1e633d
23,23,0x9a1de644,0xe83c4981,0xe83c4981
24,24,0x06cb0fb3,0xef075934,0xef075934
25,25,0x8fadc1a6,0x7eb51ada,0x7eb51ada
26,26,0x32e70629,0xb19c2103,0xb19c2103
27,27,0xb74d0fb1,0x68e930b4,0x68e930b4
28,28,0xa65ed389,0x0f48043d,0x0f48043d
29,29,0xb38a088c,0xc2d20cc9,0xc2d20cc9
30,30,0x8b8148f6,0x4e5355bf,0x4e5355bf
31,31,0x6b65a6a4,0xb9b8fc63,0xb9b8fc63
32,32,0x386ecbe0,0xf227c843,0xf227c843
33,33,0x72ff5d2a,0x6527256d,0x6527256d
34,34,0x96da1dac,0xfc014319,0xfc014319
35,35,0x47378190,0x4338c4a9,0x4338c4a9
36,36,0xcf36d58b,0x126f9a34,0x126f9a34
37,37,0xde8a774b,0xf0fa117f,0xf0fa117f
